ΟΔΟΣ,ΠΕΡΙΟΧΗ,Δ.Ο.Υ.
ΑΒΗΣΣΥΝΙΑΣ(ΠΛΑΤΕΙΑ),ΑΘΗΝΩΝΜΟΝΑΣΤΗΡΑΚΙ,ΣΤ'ΑΘΗΝΩΝ
ΑΒΛΙΧΟΥ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΒΟΚΑΝΤΟΥ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΒΟΝΙΤΣΗΣ,ΒΙΑΜΑΞ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΒΡΑΜΙΩΤΟΥ,ΑΘΗΝΩΝΜΟΝΑΣΤΗΡΑΚΙ,ΣΤ'ΑΘΗΝΩΝ
ΑΒΡΑΝΤΙΝΟΥ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΒΥΔΟΥ,ΖΩΓΡΑΦΟΥ,ΙΒ'ΑΘΗΝΩΝ
ΑΒΥΔΟΥ,ΝΕΑΠΟΛΗ,ΑΧΑΡΝΩΝ
ΑΒΥΔΟΥ,ΝΙΚΑΙΑΣ-ΑΓΙΩΑΝΝΗΣ,ΝΙΚΑΙΑΣ
ΑΒΥΔΟΥ,ΠΚΟΚΚΙΝΙΑ,Δ'ΠΕΙΡΑΙΑ
ΑΒΥΔΟΥ(ΠΑΡΟΔΟΣ),ΝΙΚΑΙΑΣ-ΑΓΙΩΑΝΝΗΣ,ΝΙΚΑΙΑΣ
ΑΒΥΡΩΝ,ΝΙΚΑΙΑΣ-ΑΓΙΩΑΝΝΗΣ,ΝΙΚΑΙΑΣ
ΑΓΑΘΑΡΧΟΥ,ΑΘΗΝΩΝΨΥΡΡΗ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΘΗΜΕΡΟΥ1-5ΚΑΙ2-4,ΡΟΥΦ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΘΗΜΕΡΟΥ7-ΤΕΛΟΣΚΑΙ6-ΤΕΛΟΣ,ΚΠΕΤΡΑΛΩΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΘΙΝΟΥ,ΑΣΠΡΑΧΩΜΑΤΑ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΑΘΙΟΥ,ΝΕΑΠΟΛΗ,ΑΧΑΡΝΩΝ
ΑΓΑΘΙΟΥ,ΣΤΡΕΦΗ,Δ'ΑΘΗΝΩΝ
ΑΓΑΘΟΔΑΙΜΟΝΟΣ,ΚΠΕΤΡΑΛΩΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΘΟΚΛΕΟΥΣ,ΑΓ.ΙΩΑΝΝΗΣΡΩΣΟΣ,ΑΧΑΡΝΩΝ
ΑΓΑΘΟΚΛΕΟΥΣ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΓΑΘΟΚΛΕΟΥΣ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΘΟΚΛΕΟΥΣ,ΑΝΩΛΟΦΟΥ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΑΘΟΥΠΟΛΕΩΣ,ΕΙΡΗΝΗ,ΑΧΑΡΝΩΝ
ΑΓΑΘΟΥΠΟΛΕΩΣ1-7ΚΑΙ2-10,ΚΥΨΕΛΗΣ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΑΘΟΥΠΟΛΕΩΣ9-ΤΕΛΟΣΚΑΙ12-ΤΕΛΟΣ,ΑΘΗΝΩΝΛΕΒΙΔΟΥ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΑΘΩΝΟΣ,ΑΓΙΕΡΟΘΕΟΥ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΑΘΩΝΟΣ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΑΘΩΝΟΣ,ΑΘΗΝΩΝΜΟΝΑΣΤΗΡΑΚΙ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΘΩΝΟΣ,ΚΕΝΤΡΟΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ
ΑΓΑΘΩΝΟΣ,ΠΛΑΤΩΝΑΣ,ΑΧΑΡΝΩΝ
ΑΓΑΛΛΙΑΝΟΥΘΕΟΔ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΑΜΕΜΝOΝΟΣ,ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΑΠΕΤΡΑΛΩΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΑΓΑΝΑΡΓΥΡΩΝΑΝΑΚΑΣΣΑ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΑΛΙΜΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΒΟΥΛΑΣ,ΓΛΥΦΑΔΑΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΒΡΙΛΗΣΣΙΩΝ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΔΑΦΝΗΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΗΛΙΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΗΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΚΑΡΑΒΑΣ-ΠΕΙΡΑΙΑ,Δ'ΠΕΙΡΑΙΑ
ΑΓΑΜΕΜΝΟΝΟΣ,ΚΑΣΤΕΛΛΑ,Α'ΠΕΙΡΑΙΑ
ΑΓΑΜΕΜΝΟΝΟΣ,ΚΟΡΥΔΑΛΛΟΥ,ΝΙΚΑΙΑΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΜΠΟΥΡΝΑΖΙ,Β'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΝΗΡΑΚΛΕΙΟΥ,ΝΕΟΥΗΡΑΚΛΕΙΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΝΙΚΑΙΑΣ-ΝΕΑΠΟΛΗ,ΝΙΚΑΙΑΣ
ΑΓΑΜΕΜΝΟΝΟΣ,ΠΦΑΛΗΡΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΠΑΛΑΙΟΜΕΝΙΔΙ,ΑΧΑΡΝΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΤΑΥΡΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΜΕΜΝΟΝΟΣ,ΧΑΪΔΑΡΙΟΥ-ΑΣΤΥΘΕΑ,ΑΙΓΑΛΕΩ
ΑΓΑΜΕΜΝΟΝΟΣ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ,ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΥ
ΑΓΑΜΕΜΝΟΝΟΣ(ΠΛΑΤΕΙΑ),ΝΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΝΙΓΙΠΗΣ,ΖΩΓΡΑΦΟΥ,ΙΒ'ΑΘΗΝΩΝ
ΑΓΑΝΙΠΠΗΣ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΑΠΗΝΟΡΟΣ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΑΠΗΝΟΥ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΑΠΗΣ,ΑΙΓΑΛΕΩ-ΒΙΟΜΠΕΡΙΟΧΗ,ΑΙΓΑΛΕΩ
ΑΓΑΠΗΣ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΑΠΗΣ,ΝΗΡΑΚΛΕΙΟΥ,ΝΕΟΥΗΡΑΚΛΕΙΟΥ
ΑΓΑΠΗΣ,ΝΠΕΝΤΕΛΗΣ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΑΠΗΣ,ΝΣΜΥΡΝΗΣ,ΝΕΑΣΣΜΥΡΝΗΣ
ΑΓΑΠΗΣ,ΠΡΟΟΔΟΣ,ΑΧΑΡΝΩΝ
ΑΓΑΠΙΟΥ,ΚΟΥΚΑΚΙΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΑΡΙΣΤΗΣ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΓΓΕΛΕΤΟΠΟΥΛΟΥ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΓΓΕΛΕΤΟΠΟΥΛΟΥ,ΔΑΦΝΗΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΓΕΛΗ,ΑΘΗΝΩΝΚΠΑΤΗΣΙΑ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΓΕΛΙΔΟΥ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΓΓΕΛΙΔΟΥ,ΠΦΑΛΗΡΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΓΕΛΙΚΑΡΑ,ΚΟΥΚΑΚΙΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΓΕΛΙΩΝΟΣ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΓΕΛΟΚΑΣΤΡΟΥ,ΑΓΔΗΜΗΤΡΙΟΥ-ΤΣΟΥΚΑΛΙ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΓΕΛΟΠΟΥΛΟΥ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΓΕΛΟΠΟΥΛΟΥ,ΚΑΜΙΝΙΑ,Δ'ΠΕΙΡΑΙΑ
ΑΓΓΕΛΟΠΟΥΛΟΥ,ΝΨΥΧΙΚΟΥΕΛΛΗΝΟΡΩΣΩΝ,ΨΥΧΙΚΟΥ
ΑΓΓΕΛΟΠΟΥΛΩΝΑΘΑΝΑΤΩΝ,ΑΚΑΔΗΜΙΑΠΛΑΤΩΝΟΣ,Α'ΑΘΗΝΩΝ
ΑΓΓΕΛΩΝ,ΑΝΩΛΟΦΟΥ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΓΕΛΩΝ,ΔΕΚΕΛΕΙΑ,ΑΧΑΡΝΩΝ
ΑΓΓΕΛΩΝ,Ν.ΗΡΑΚΛΕΙΟΥ,ΝΕΟΥΗΡΑΚΛΕΙΟΥ
ΑΓΓΕΛΩΝΑΥΤΟΚΡΑΤΟΡΩΝ,ΣΤΡΕΦΗ,Δ'ΑΘΗΝΩΝ
ΑΓΓΙΣΤΗΣ,ΒΟΤΑΝΙΚΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΓΟΥΛΕΦΩΤΗ,ΚΟΡΥΔΑΛΛΟΥ,ΝΙΚΑΙΑΣ
ΑΓΔΙΝΩΝ,ΑΓΙΟΥΦΑΝΟΥΡΙΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΕΛΑΟΥ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΕΛΑΟΥ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΓΕΛΑΟΥ,ΝΕΑΠΟΛΗ,ΑΧΑΡΝΩΝ
ΑΓΗΝΟΡΟΣ,ΖΩΓΡΑΦΟΥ,ΙΒ'ΑΘΗΝΩΝ
ΑΓΗΝΟΡΟΣ,ΘΗΣΕΙΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΗΝΟΡΟΣ,ΧΑΡΑΥΓΗ,ΑΧΑΡΝΩΝ
ΑΓΗΣΑΝΔΡΟΥ,ΑΘΗΝΩΝΓΟΥΒΑ,ΙΖ'ΑΘΗΝΩΝ
ΑΓΗΣΙΛΑΟΥ,ΑΓΙΑΣΠΑΡΑΣΚΕΥΗΣ,ΧΟΛΑΡΓΟΥ
ΑΓΗΣΙΛΑΟΥ,ΑΛΙΜΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΗΣΙΛΑΟΥ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΗΣΙΛΑΟΥ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΗΣΙΛΑΟΥ,ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ
ΑΓΗΣΙΛΑΟΥ,ΔΑΦΝΗΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΗΣΙΛΑΟΥ,ΕΙΡΗΝΗ,ΑΧΑΡΝΩΝ
ΑΓΗΣΙΛΑΟΥ,ΗΛΙΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΗΣ
ΑΓΗΣΙΛΑΟΥ,ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ
ΑΓΗΣΙΛΑΟΥ,ΚΑΣΤΕΛΛΑ,Α'ΠΕΙΡΑΙΑ
ΑΓΗΣΙΛΑΟΥ,ΚΟΡΥΔΑΛΛΟΥ,ΝΙΚΑΙΑΣ
ΑΓΗΣΙΛΑΟΥ,ΜΟΣΧΑΤΟΥ,ΜΟΣΧΑΤΟΥ
ΑΓΗΣΙΛΑΟΥ,ΝΗΡΑΚΛΕΙΟΥ,ΝΕΟΥΗΡΑΚΛΕΙΟΥ
ΑΓΗΣΙΛΑΟΥ,ΝΙΚΑΙΑΣ-ΑΣΠΡΑΧΩΜΑΤΑ,ΝΙΚΑΙΑΣ
ΑΓΗΣΙΛΑΟΥ,ΠΦΑΛΗΡΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΗΣΙΛΑΟΥ,ΠΕΤΡΟΥΠΟΛΗΣ-ΑΓΤΡΙΑΔΑ,Β'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΗΣΙΛΑΟΥ,ΧΑΪΔΑΡΙΟΥ-ΑΣΤΥΘΕΑ,ΑΙΓΑΛΕΩ
ΑΓΗΣΙΛΑΟΥ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΗΣΙΛΑΟΥ11-ΤΕΛΟΣΚΑΙ8-ΤΕΛΟΣ,ΑΘΗΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΗΣΙΛΑΟΥ1-9ΚΑΙ2-6,ΑΘΗΝΩΝ,Α'ΑΘΗΝΩΝ
ΑΓΗΣΙΛΑΟΥ1-ΤΕΛΟΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΗΣΙΛΑΟΥ2-ΤΕΛΟΣ,ΝΣΜΥΡΝΗΣ,ΝΕΑΣΣΜΥΡΝΗΣ
ΑΓΙΑΣ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΑΙΚΑΤΕΡΙΝΗΣ,ΑΓΔΗΜΗΤΡΙΟΥ-ΤΣΟΥΚΑΛΙ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΙΑΣΑΙΚΑΤΕΡΙΝΗΣ,ΑΓΙΟΥΦΑΝΟΥΡΙΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΑΙΚΑΤΕΡΙΝΗΣ,ΚΠΕΤΡΑΛΩΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΙΑΣΑΝΑΣΤΑΣΙΑΣ,ΑΝΩΛΟΦΟΥ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΙΑΣΑΝΑΣΤΑΣΙΑΣ,ΠΕΡΙΣΣΟΥ,ΝΕΑΣΙΩΝΙΑΣ
ΑΓΙΑΣΑΝΝΗΣ,ΑΓ.ΑΝΝΑ,ΑΧΑΡΝΩΝ
ΑΓΙΑΣΑΝΝΗΣ,ΑΓΙΟΥΦΑΝΟΥΡΙΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΑΝΝΗΣ,ΑΛΙΜΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΙΑΣΑΝΝΗΣ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΙΑΣΑΝΝΗΣ,ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑΣ
ΑΓΙΑΣΑΝΝΗΣ,ΡΕΝΤΗ,ΜΟΣΧΑΤΟΥ
ΑΓΙΑΣΑΝΝΗΣ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΙΑΣΑΝΝΗΣ(ΠΑΡΟΔΟΙ8,10),ΤΑΥΡΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΙΑΣΑΝΝΗΣ(ΠΑΡΟΔΟΣ),ΡΕΝΤΗ,ΜΟΣΧΑΤΟΥ
ΑΓΙΑΣΑΝΝΗΣ(ΠΛΑΤΕΙΑ),ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΙΑΣΑΝΝΗΣ1-ΤΕΛΟΣ,ΤΑΥΡΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΙΑΣΑΝΝΗΣ2-ΤΕΛΟΣ,ΒΙΟΜΠΕΡΙΟΧΗΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΑΓΒΑΡΒΑΡΑΣ,ΝΙΚΑΙΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΑΙΓΑΛΕΩΙΕΡΑΠΟΛΗΣ,ΑΙΓΑΛΕΩ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΑΡΓΥΡΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΗΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΒΥΡΩΝΑ,ΒΥΡΩΝΑ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΔΑΦΝΗΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΚΕΡΑΤΣΙΝΙ,Ε'ΠΕΙΡΑΙΑ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΚΟΡΥΔΑΛΛΟΥ,ΝΙΚΑΙΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΜΕΤΑΜ/ΣΗΣ(ΚΑΝΑΠΙΤΣΑ),ΝΕΑΣΙΩΝΙΑΣ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΝΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΠΕΥΚΗΣ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ(ΠΛΑΤΕΙΑ)(ΠΡΩΗΝΚΑΖΑΓΛΗ),ΛΥΚΟΒΡΥΣΗΣ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ1-137ΚΑΙ2-134,ΠΦΑΛΗΡΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΙΑΣΒΑΡΒΑΡΑΣ139-ΤΕΛΟΣκαι136-ΤΕΛΟΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΓΙΑΣΓΛΥΚΕΡΙΑΣ,ΓΑΛΑΤΣΙΟΥ-ΠΕΡΙΒΟΛΙΑ,ΓΑΛΑΤΣΙΟΥ
ΑΓΙΑΣΓΛΥΚΕΡΙΑΣ,ΠΕΤΡΟΥΠΟΛΗΣ,Β'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΙΑΣΓΛΥΚΕΡΙΑΣ(ΠΡΟΕΚΤΑΣΗ24-ΤΕΛΟΣΚΑΙ29-ΤΕΛΟΣ),ΠΕΤΡΟΥΠΟΛΗΣ-ΜΙΧΕΛΗ,Β'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΙΑΣΓΛΥΚΕΡΙΑΣ1-27ΚΑΙ2-22,ΛΙΟΣΙΩΝΑΓΝΙΚΟΛΑΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΓΡΗΓΟΡΟΥΣΑΣ,ΧΑΪΔΑΡΙΟΥ-ΓΡΗΓΟΡΟΥΣΑ,ΑΙΓΑΛΕΩ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΑΘΗΝΩΝΜΟΝΑΣΤΗΡΑΚΙ,ΣΤ'ΑΘΗΝΩΝ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΑΛΙΜΟΥ,ΠΑΛΑΙΟΥΦΑΛΗΡΟΥ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΑΣΠΡΑΧΩΜΑΤΑ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΕΛΛΗΝΙΚΟΥ,ΗΛΙΟΥΠΟΛΗΣ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΜΕΛΙΣΣΙΩΝ,ΑΜΑΡΟΥΣΙΟΥ
ΑΓΙΑΣΕΙΡΗΝΗΣ,ΝΙΚΟΝΙΟ-ΠΕΡΑΜΑ,Ε'ΠΕΙΡΑΙΑ
ΑΓΙΑΣΕΙΡΗΝΗΣ(ΠΛΑΤΕΙΑ),ΑΘΗΝΩΝ,ΣΤ'ΑΘΗΝΩΝ
